setting,attack,vanilla_breach_rate,plus_breach_rate,vanilla_impact_mean,plus_impact_mean,delta_breach_pp,delta_impact
Impersonation,PGD,0.06842355929512621,0.09906334338783934,0.047618921218739466,0.060351190247572475,3.0639784092713134,0.01273226902883301
Impersonation,MI-FGSM,0.12668677567867914,0.16939196697888553,0.07151457388270027,0.08631007540162285,4.270519130020639,0.014795501518922574
Impersonation,TI-FGSM,0.10192093983171932,0.13557707572630576,0.06112765534324791,0.07316104056256559,3.3656135894586434,0.012033385219317676
Impersonation,SI-NI-FGSM,0.16447055088109225,0.21400222257501192,0.08372336976226592,0.10124455214405477,4.953167169391967,0.017521182381788847
Impersonation,MI-ADMIX-DI-TI,0.12319415780282585,0.1397047150341324,0.07126314146876667,0.07795542770377775,1.6510557231306553,0.006692286235011086
Dodging,PGD,0.2604929051530993,0.31516056758775207,0.11834563833088951,0.15317272446657335,5.466766243465276,0.03482708613568383
Dodging,MI-FGSM,0.41344286781179984,0.5044062733383122,0.20170210548958242,0.24214053803017116,9.096340552651238,0.04043843254058874
Dodging,TI-FGSM,0.3272591486183719,0.3940253920836445,0.1614019849553949,0.19391064482314693,6.676624346527261,0.03250865986775203
Dodging,SI-NI-FGSM,0.4525765496639283,0.5412994772218073,0.2199400306910922,0.2569947777415088,8.872292755787898,0.037054747050416614
Dodging,MI-ADMIX-DI-TI,0.39686333084391334,0.4321135175504108,0.19440652074117026,0.21296301585426686,3.525018670649743,0.018556495113096594
