config_key,config_label,breach_rate,impact_mean
facesm,FaceSM,0.3398148148148148,0.1751001032110286
mf_only,MF Only,0.3324074074074074,0.1730401540209573
ss_only,SS Only,0.3,0.1596688673753912
vanilla,Vanilla,0.2898148148148148,0.1581175261047772
