attacker_model,vanilla_breach_rate,plus_breach_rate,delta_breach_pp,vanilla_impact_mean,plus_impact_mean
ArcFace,0.1998,0.26793333333333336,6.813333333333335,0.10711797156838389,0.13566485313066903
Facenet512,0.3676,0.41355,4.594999999999999,0.1685324571099365,0.1851397100229864
GhostFaceNet,0.09385437541750168,0.1295925183700735,3.5738142952571814,0.06686885685909726,0.09063792542618825
VGG-Face,0.2879333333333333,0.3456666666666667,5.773333333333336,0.14204237426557423,0.16733640843133132
