dataset,dataset_label,vanilla_breach_rate,plus_breach_rate,delta_breach_pp,vanilla_impact_mean,plus_impact_mean
celeba_pairs,CelebA,0.22655730436710264,0.2851695854577699,5.861228109066724,0.1409734241166283,0.16503419087520702
lfw_pairs,LFW,0.2391304347826087,0.2946010511227903,5.547061634018158,0.13440307236575363,0.15994011253307405
vggface2_pairs,VGGFace2,0.27730975098906213,0.317291133348848,3.9981382359785878,0.0985045022724232,0.11797859609086515
