attacker_model,vanilla_breach_rate,plus_breach_rate,delta_breach_pp,vanilla_impact_mean,plus_impact_mean
ArcFace,0.19635416666666666,0.2631365740740741,6.678240740740743,0.10685168068806954,0.1352176069701845
Facenet512,0.3638424821002387,0.4128480509148767,4.900556881463802,0.1666149688368758,0.18448208125252402
GhostFaceNet,0.0938,0.10866666666666666,1.4866666666666668,0.06701105250047207,0.07710220786244605
VGG-Face,0.28800792864222,0.3346547737033366,4.66468450611166,0.14223621882662715,0.16361678384512424
